IP,Set_Num,Longitude,Latitude
156.199.0.1,-1,31.3844,31.0371
156.208.0.1,-1,31.2194,30.008
160.178.72.1,-1,-6.3498,32.3373
160.179.8.1,-1,-9.5912,30.4201
165.165.235.173,-1,17.8776,-29.6646
165.73.14.113,-1,28.1443,-25.757
165.73.61.129,-1,27.9816,-26.0996
169.1.2.121,-1,31.0449,-29.8556
169.1.21.131,-1,28.0583,-26.2309
169.1.21.132,-1,28.0583,-26.2309
169.1.21.133,-1,28.0583,-26.2309
169.1.21.147,-1,28.0583,-26.2309
169.1.21.148,-1,28.0583,-26.2309
169.1.21.39,-1,28.0583,-26.2309
169.1.21.93,-1,28.0583,-26.2309
169.159.136.133,-1,28.0583,-26.2309
176.67.177.246,-1,-0.1224,51.4964
176.67.178.0,-1,-0.1224,51.4964
176.67.178.2,-1,-0.1224,51.4964
184.105.223.253,-1,-97.822,37.751
185.10.164.37,-1,-0.0961,51.5132
185.35.140.145,-1,-3.684,40.4172
185.35.140.165,-1,-3.684,40.4172
185.35.140.30,-1,-3.684,40.4172
185.35.140.33,-1,-3.684,40.4172
185.35.140.34,-1,-3.684,40.4172
185.35.140.35,-1,-3.684,40.4172
185.35.140.75,-1,-3.684,40.4172
185.35.142.107,-1,-3.684,40.4172
185.35.142.32,-1,-3.684,40.4172
185.35.142.97,-1,-3.684,40.4172
192.22.218.39,-1,-97.822,37.751
193.251.128.123,-1,2.3387,48.8582
193.251.128.82,-1,2.3387,48.8582
193.251.131.116,-1,2.3387,48.8582
193.251.131.118,-1,2.3387,48.8582
193.251.131.120,-1,2.3387,48.8582
193.251.131.122,-1,2.3387,48.8582
193.251.131.124,-1,2.3387,48.8582
193.251.131.126,-1,2.3387,48.8582
193.251.131.190,-1,2.3387,48.8582
193.251.131.192,-1,2.3387,48.8582
193.251.131.44,-1,2.3387,48.8582
193.251.131.46,-1,2.3387,48.8582
193.251.131.48,-1,2.3387,48.8582
193.251.131.50,-1,2.3387,48.8582
193.251.131.52,-1,2.3387,48.8582
193.251.131.54,-1,2.3387,48.8582
193.251.132.165,-1,2.3387,48.8582
193.251.132.201,-1,2.3387,48.8582
193.251.132.209,-1,2.3387,48.8582
193.251.141.65,-1,2.3387,48.8582
193.251.150.123,-1,2.3387,48.8582
193.251.151.16,-1,2.3387,48.8582
193.251.154.82,-1,2.3387,48.8582
193.251.240.124,-1,2.3387,48.8582
193.251.240.132,-1,2.3387,48.8582
193.251.240.21,-1,2.3387,48.8582
193.251.240.29,-1,2.3387,48.8582
193.251.240.37,-1,2.3387,48.8582
193.251.241.157,-1,2.3387,48.8582
193.251.247.99,-1,2.3387,48.8582
193.251.248.108,-1,2.3387,48.8582
193.251.248.94,-1,2.3387,48.8582
193.251.248.95,-1,2.3387,48.8582
193.251.251.93,-1,2.3387,48.8582
193.95.0.14,-1,9.0,34.0
193.95.0.150,-1,9.0,34.0
193.95.0.16,-1,9.0,34.0
193.95.0.73,-1,9.0,34.0
